Wavenumber,Fit_First,Fit_Last
42805.17,0.4677835847308272,0.45506118445709876
42699.76,0.4439907559258933,0.43786500619272856
42594.87,0.41921232165030586,0.4198428329659402
42490.49,0.39377408501256855,0.4012661048542858
42386.63,0.36803936279641153,0.38244288337333926
42283.26,0.3423764703478024,0.36368665509573395
42180.41,0.3171647248666836,0.3453132782701903
42078.05,0.29274688153038786,0.3275999670695419
41976.19,0.2694381904089431,0.31078762554385575
41874.82,0.2474997430010219,0.29505958351540623
41773.93,0.22713558889372515,0.28054007928666846
41673.54,0.20849441059486581,0.2672980214578312
41573.62,0.19165442025207224,0.25534042257064643
41474.18,0.1766441909116951,0.24463226406952548
41375.22,0.16343935201449783,0.23509939745680908
41276.73,0.15197170505510474,0.2266398268910171
41178.7,0.14214018537547263,0.21913543480583605
41081.14,0.1338217705403389,0.21246275254009164
40984.04,0.12687645084372925,0.2064979528890674
40887.4,0.12115823514071464,0.20112537492316038
40791.22,0.11652094098587223,0.1962411576915044
40695.48,0.11282299912762882,0.19175504412742367
40600.2,0.10993389795075778,0.18759440485196424
40505.35,0.10773359566609658,0.18370005845004686
40410.96,0.10611729702161381,0.18003013021927392
40317.0,0.10499320268038587,0.17655359776860183
40223.47,0.10428428913114547,0.17325209959852292
40130.38,0.10392681112453345,0.17011703180257057
40037.72,0.10386906890996372,0.16714658415234437
39945.48,0.10407030335639032,0.16434467817834722
39853.67,0.1044991115591946,0.1617199089892765
39762.28,0.10513210192050981,0.15928294482411456
39671.31,0.10595245959420922,0.15704628162677298
39580.76,0.10694872122362195,0.15502300795944973
39490.61,0.10811395973530062,0.15322571525618
39400.88,0.10944408512795992,0.15166718883826133
39311.55,0.1109380858978732,0.15035843699219
39222.63,0.11259638561563448,0.14930971216185782
39134.11,0.11442110337040146,0.1485295586538571
39045.98,0.11641535880026849,0.14802511981531935
38958.26,0.11858217523042797,0.14780215707164973
38870.92,0.12092614127950434,0.14786477956805866
38783.98,0.12345074791080705,0.14821575730095418
38697.43,0.12616028708730076,0.14885650036364742
38611.26,0.12905904448468103,0.14978728769920008
38525.47,0.13215085948744318,0.15100721968947825
38440.07,0.13543895614275633,0.15251416210701849
38355.04,0.13892747484846985,0.15430560256320933
38270.38,0.14261959279266787,0.15637796931629752
38186.1,0.14651773488810263,0.15872669843666748
38102.19,0.15062494461296977,0.16134716207430658
38018.65,0.15494356614064592,0.1642340198408123
37935.48,0.15947567312662012,0.16738154313047637
37852.66,0.16422425142366398,0.17078455812749355
37770.21,0.16918979644249654,0.174436091703529
37688.12,0.17437426202997147,0.17833023818155394
