Wavelength [nm]	Abs_Stable	Abs_PSS	EpsilonAvg_Stable	EpsilonPlusError_Stable	EpsilonMinusError_Stable	Abs_Metastable_before_rescaling	Abs_Metastable_rescaled	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable	EpsilonAvg_Stable * total_conc_avg	EpsilonAvg_Metastable * total_conc_avg
457.942	0.5725	0.4939	12026.743590935417	12082.697202377485	11970.78997949335	0.270625	0.4436475409836066	9221.725143176012	9271.37881089312	9172.07147545891	0.5785940414963644	0.4436475409836066
458.519	0.5632	0.4887	11816.439296076966	11867.949735814245	11764.928856339686	0.269052	0.44106885245901645	9168.124131997385	9217.489189204307	9118.759074790469	0.5684765220709145	0.4410688524590164
459.095	0.5494239168110913	0.4799152512998263	11538.306228281173	11580.710532303125	11495.901924259222	0.2656399237435007	0.435475284825411	9051.855385928126	9100.594403040208	9003.116368816047	0.5550958313999135	0.43547528482541104
459.672	0.5402	0.474	11345.154926345514	11397.000864337233	11293.308988353796	0.26332199999999994	0.4316754098360655	8972.870607487828	9021.184337152878	8924.556877822783	0.54580352450385	0.43167540983606556
460.249	0.531	0.4685	11141.568305524905	11191.513884493123	11091.622726556687	0.26141000000000003	0.42854098360655746	8907.717948000523	8955.680868196105	8859.755027804948	0.5360091853425856	0.42854098360655746
460.826	0.5223	0.4629	10955.399594323073	11006.279453429059	10904.519735217087	0.25920299999999996	0.4249229508196721	8832.51296918855	8880.070953976641	8784.954984400463	0.5270528035755689	0.4249229508196721
461.402	0.5093225303292902	0.45571247833622225	10729.327703350715	10773.062396198007	10685.593010503422	0.2570766915077991	0.4214371991931133	8760.057606658565	8807.225461135948	8712.889752181187	0.5161767216106213	0.42143719919311334
461.979	0.4975	0.4475	10441.145490344283	10483.172602989407	10399.118377699158	0.253475	0.4155327868852459	8637.327595996452	8683.834620198184	8590.820571794724	0.5023125770855456	0.415532786885246
462.556	0.4851	0.4398	10218.153448098692	10257.627217061397	10178.679679135987	0.25061100000000003	0.41083770491803284	8539.734909400402	8585.716453308954	8493.753365491853	0.49158466341807133	0.41083770491803284
463.132	0.4760157712305022	0.43371057192374324	9992.19394708632	10034.091157097	9950.29673707564	0.24806442114384736	0.406662985481717	8452.95855737504	8498.472860709591	8407.444254040493	0.48071398841642016	0.4066629854817169
463.709	0.4667	0.429	9834.930156855737	9873.803898964126	9796.056414747347	0.24698699999999998	0.4048967213114754	8416.244722171321	8461.561342692134	8370.928101650512	0.47314819213228465	0.4048967213114754
464.286	0.4558	0.4222	9596.796037046764	9637.568213239458	9556.023860854071	0.24443800000000002	0.4007180327868853	8329.385868074487	8374.23480379526	8284.536932353718	0.461691808967826	0.4007180327868853
464.863	0.4447	0.4135	9396.853353655995	9435.534860000384	9358.171847311607	0.24006699999999997	0.3935524590163934	8180.441163775835	8224.48811822514	8136.394209326536	0.4520727758209079	0.3935524590163934
465.439	0.4355	0.4102	9205.17195789104	9241.083712022646	9169.260203759433	0.240355	0.39402459016393443	8190.254953489405	8234.354749532436	8146.155157446378	0.4428511845716441	0.39402459016393443
466.016	0.4263	0.4031	8991.758756983445	9035.873319134787	8947.644194832103	0.236843	0.3882672131147541	8070.581240037824	8114.036662201788	8027.1258178738635	0.4325840989313659	0.3882672131147541
