Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
478.704,4518.418344802189,4539.317579823123,4497.519109781254
479.28,4342.618679656866,4362.783957180365,4322.4534021333675
479.857,4173.924535728944,4200.460126656111,4147.388944801776
480.434,3997.4711615344695,4023.1110001463894,3971.8313229225496
481.01,3827.847540533448,3846.6946437913334,3809.0004372755625
481.587,3666.3170822283882,3688.946722079213,3643.6874423775635
482.164,3498.3514166080527,3516.276022329928,3480.4268108861775
482.741,3356.228996753221,3370.783039638347,3341.674953868095
483.317,3207.756638870578,3221.6298431621053,3193.883434579051
483.894,3052.4808240204,3065.0235901791502,3039.93805786165
484.471,2879.898725077192,2895.7226613578664,2864.0747887965176
485.047,2715.7516753210302,2740.0125478937907,2691.4908027482697
485.624,2641.384412416521,2655.2539885998103,2627.514836233232
486.201,2572.048713724121,2581.5267208122896,2562.570706635953
486.777,2418.515217376188,2432.92669098354,2404.103743768836
487.354,2292.1131010146414,2300.1352945039466,2284.090907525336
487.931,2164.404261832544,2170.4607513701967,2158.347772294891
488.508,2041.8719628792746,2055.6494242727053,2028.094501485844
489.084,1951.1560905849587,1962.2536959909899,1940.0584851789276
489.661,1870.9363693219434,1887.6591201424792,1854.2136185014076
490.238,1776.329621195028,1792.6697357132382,1759.9895066768179
490.814,1662.0731251708978,1676.8890122138616,1647.257238127934
491.391,1581.7507910022257,1597.5179864140198,1565.9835955904316
491.968,1487.4620015786352,1501.8957404037862,1473.0282627534841
492.545,1432.5603568301372,1444.2679159024424,1420.852797757832
493.121,1334.919084440976,1351.6676979362037,1318.170470945748
493.698,1255.9161694164777,1276.8733706441046,1234.9589681888508
494.275,1198.9041523309534,1213.0927677325624,1184.7155369293444
494.851,1126.9840476214854,1137.7548296714326,1116.2132655715382
495.428,1064.7513733580215,1081.4782149274554,1048.0245317885876
496.005,1005.120839814978,1022.825479820289,987.416199809667
496.582,972.0463349310786,980.8197395258603,963.2729303362969
497.158,912.3224390506406,924.2433668729493,900.4015112283319
497.735,862.821961755325,883.2655106648122,842.3784128458378
498.312,817.6283963951964,834.4078104687089,800.8489823216839
498.888,772.9324614104156,790.6317026843064,755.2332201365248
499.465,743.6559589757946,759.9909775417084,727.3209404098809
500.042,693.8722150009831,709.471948621955,678.2724813800113
500.619,649.115682286747,663.8446227251211,634.3867418483728
501.195,609.1230486191234,624.3896047361266,593.8564925021203
501.772,593.1646362839867,612.672551376687,573.6567211912865
502.349,572.1005623997718,593.5351304336464,550.6659943658972
502.925,541.5807135897136,560.0540127739238,523.1074144055034
503.502,516.6935698704528,533.1380909430353,500.24904879787033
504.079,495.1863632693992,513.206065319795,477.16666121900334
504.655,469.0327230897868,489.82393312361336,448.2415130559603
505.232,445.7071508357579,468.1618965301024,423.25240514141336
505.809,421.86642994555035,442.54779540391615,401.18506448718455
506.386,413.124531466873,431.2035271528806,395.0455357808654
506.962,401.94257987676394,420.21300008504585,383.67215966848204
507.539,365.64634310279575,383.3335952661457,347.9590909394458
