Wavelength [nm]	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable
500.042	2598.0883769936704	2612.077583456453	2584.0991705308893
500.619	2511.2090775016004	2524.730489077689	2497.687665925513
501.195	2443.930096909686	2457.089250004331	2430.7709438150423
501.772	2432.9270667065207	2446.026974833754	2419.827158579289
502.349	2382.4064950768757	2395.2343790830655	2369.578611070687
502.925	2314.5773904361204	2327.040053860359	2302.1147270118827
503.502	2256.248183769418	2268.3967780795747	2244.0995894592634
504.079	2180.1538302646563	2191.8927003978924	2168.4149601314216
504.655	2140.9701062748472	2152.4979946686904	2129.442217881005
505.232	2085.253120708092	2096.481005290872	2074.025236125313
505.809	1999.6925492087823	2010.4597394940256	1988.9253589235402
506.386	1967.9272201428473	1978.5233724639486	1957.331067821747
506.962	1947.16832884595	1957.6527065180971	1936.683951173804
507.539	1891.8260515063391	1902.012442954969	1881.6396600577104
508.116	1839.3529446315986	1849.2567986837662	1829.4490905794319
508.692	1788.9165286582543	1798.5488117190184	1779.284245597491
509.269	1738.1414230786695	1747.5003114999704	1728.7825346573698
509.846	1692.4630025542267	1701.5759390436115	1683.3500660648428
510.423	1641.2745480135184	1650.1118642178421	1632.4372318091957
510.999	1615.346379287634	1624.0440872674183	1606.6486713078505
511.576	1570.33243410838	1578.7877679724904	1561.8771002442707
512.153	1523.938424750656	1532.1439536499743	1515.7328958513383
512.729	1496.9530542834987	1505.0132825370488	1488.8928260299492
513.306	1453.3949960526309	1461.2206893014811	1445.5693028037815
513.883	1397.9913825273102	1405.5187592926823	1390.4640057619388
514.46	1364.675610989266	1372.0236015525984	1357.3276204259346
515.036	1316.5481728720654	1323.637024957158	1309.4593207869736
515.613	1315.7777222282325	1322.862425881262	1308.6930185752037
516.19	1271.8177371734262	1278.6657416777746	1264.9697326690784
516.766	1213.5088589698978	1220.0429038172056	1206.9748141225907
517.343	1203.1968571408163	1209.67537780969	1196.718336471943
517.92	1132.1521755029073	1138.248161563522	1126.056189442293
518.496	1127.379306058502	1133.449592971748	1121.3090191452568
519.073	1128.2525571181127	1134.327545984331	1122.177568251895
519.65	1059.4878778056723	1065.1926085602856	1053.7831470510598
520.227	1041.6482481919745	1047.2569228369898	1036.03957354696
520.803	984.7957376575533	990.0982943449055	979.4931809702017
521.38	1002.1579672924764	1007.554009566065	996.7619250188884
521.957	941.523399395871	946.5929595156582	936.4538392760844
522.533	893.0337535622411	897.8422249242784	888.2252822002044
523.11	886.5535690061538	891.3271483142968	881.7799896980113
523.687	884.8170734373916	889.581302719089	880.0528441556947
524.264	890.4150226531735	895.2093936606262	885.6206516457212
524.84	827.6640155929925	832.1205086432188	823.2075225427666
525.417	783.0150207187122	787.2311047000312	778.7989367373937
525.994	762.4967035724322	766.6023082577543	758.3910988871106
526.57	776.6326427522279	780.81436131169	772.4509241927661
527.147	736.2131257260176	740.1772085138052	732.2490429382303
527.724	727.64037150331	731.5582949572436	723.7224480493769
528.301	680.4711409095314	684.135085279724	676.8071965393392
528.877	666.1764020732732	669.7633775248244	662.5894266217224
529.454	666.7996458714025	670.3899771311109	663.2093146116945
530.031	627.699531264336	631.0793309729238	624.3197315557485
530.607	606.219067519352	609.4832073277972	602.9549277109072
531.184	596.4061500717793	599.6174529831458	593.194847160413
531.761	616.687641389902	620.0081484268612	613.3671343529429
532.338	567.0867717893165	570.1402067698667	564.0333368087665
532.914	553.2704552015948	556.2494972911979	550.291413111992
533.491	559.6170466396236	562.6302614612815	556.6038318179661
534.068	523.9739076104795	526.7952046993628	521.1526105215963
534.644	497.26305112248525	499.9405256649468	494.58557658002405
